Article_Name,ingredient_name,usage_amount,ingredient_name_02,usage_amount_02,ingredient_name_03,usage_amount_03,ingredient_name_04,usage_amount_04,ingredient_name_05,usage_amount_05
o) PIZZA DIAVOLA,SALLAM PIKANT LP,0.085,MOCARELA BLLOK LP ,0.15,,,,,,
o) SALCICE ZGARE,SALCICE TE VILES LP,0.25,,,,,,,,
o) SPAGHETTI CARBONARA,PANCETE LP,0.05,GRANA PADANA LP ,0.05,,,,,,
p) CHICKEN TENDERS,FILETO PULE LP,0.2,,,,,,,,
p) TAGLIATELE DOMATE ,GRANA PADANA LP ,0.02,,,,,,,,
q) ANTIPASTE ITALIANE E MADHE,NAPOLI LP,0.1,PROSHUTE CRUDO LP,0.14,GORGONZOLA LP,0.08,GRANA PADANA LP ,0.1,MOCARELA BLLOK LP ,0.1
q) CHEESEBURGER ,HAMBURGER LP,1,DJATH CHEDAR LP,0.08,,,,,,
q) EXTRA SALLAM PIKANT ,SALLAM PIKANT LP,0.03,,,,,,,,
q) KOTOLET BURGER,FILETO PULE LP,0.15,,,,,,,,
r) ANTIPASTE ITALIANE E MESME,NAPOLI LP,0.07,PROSHUTE CRUDO LP,0.07,GORGONZOLA LP,0.05,GRANA PADANA LP ,0.06,MOCARELA BLLOK LP ,0.05
r) MISH QINGJI ,DJATH I BARDHE DELE LP,0.07,,,,,,,,
r) PASTE E THJESHTE,GRANA PADANA LP ,0.04,,,,,,,,
r) PETULLA DJATH,DJATH I BARDHE DELE LP,0.1,,,,,,,,
r) PIZZA KATER DJATHERA,MOCARELA BLLOK LP ,0.1,GRANA PADANA LP ,0.05,GORGONZOLA LP,0.05,,,,
s) ANTIPASTE ITALIANE E VOGEL,NAPOLI LP,0.03,PROSHUTE CRUDO LP,0.035,GORGONZOLA LP,0.025,GRANA PADANA LP ,0.03,MOCARELA BLLOK LP ,0.05
s) CROSTINI MIX,PROSHUTE CRUDO LP,0.03,SALLAM PIKANT LP,0.05,,,,,,
s) FARFALLE E BACON,GRANA PADANA LP ,0.04,PANCETE LP,0.15,,,,,,
s) PIZZA BUFFALO,BURRATA LP,0.5,,,,,,,,
s) PIZZA RUKOLA GRANA POMD,MOCARELA BLLOK LP ,0.15,GRANA PADANA LP ,0.05,,,,,,
t) BRUSKETA RESTORANT,DJATH I BARDHE DELE LP,0.05,,,,,,,,
t) BUBBLEGUM LEMONADE,UJE PLASTIK LP,1,,,,,,,,
t) REST @ SUPE PULE,FILETO PULE LP,0.05,,,,,,,,
"t) SPAGETTI AGLIO, OLIO E PEPERONCINO",GRANA PADANA LP ,0.05,,,,,,,,
t) STELA,STELA LP,1,,,,,,,,
u) LEMONADE LIMON,UJE PLASTIK LP,1,,,,,,,,
u) PIZZA PROSHUTE KERPUDHE,MOCARELA BLLOK LP ,0.15,PROSHUTE COTTO LP,0.08,,,,,,
v) BITBURGER ,BITBURGER LP,1,,,,,,,,
v) PIZZA BOSCAIOLA,MOCARELA BLLOK LP ,0.1,,,,,,,,
v) PIZZA VEGJETARIANE,MOCARELA BLLOK LP ,0.15,,,,,,,,
x) PIZZA CAPRICIOSA,MOCARELA BLLOK LP ,0.15,PROSHUTE COTTO LP,0.08,,,,,,
y) ROSE LEMOANDE,UJE PLASTIK LP,1,,,,,,,,
y) TAPAS TE NDRYSHME,QOFTE ZGARE LP,0.14,SALCICE TE VILES LP,0.14,KACKAVALL SKUQJE LP,0.16,,,,
z) SALLATE RUKOLA,GRANA PADANA LP ,0.07,,,,,,,,
z)REST@ SALMON ZGARE,SALMON RACION LP,1,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
